pvi,voter_share
1,51.40
5,46.47
10,45.50
6,44.56
2,51.39
6,41.27
1,51.17
2,50.06
-12,58.87
1,48.81
1,48.60
5,46.92
0,49.33
0,48.64
1,47.87
0,49.41
-2,53.54
1,47.27
-8,56.78
6,42.79
-6,55.88
-3,54.37
-10,57.15
9,42.18
-6,56.82
-8,58.91
-3,56.20
-4,53.55
-4,55.06
6,43.84
-8,58.58
-10,59.09
-8,57.45
-8,56.59
-8,55.83
-14,59.81
11,42.74
14,34.19
15,38.19
9,41.84
-15,65.77
-4,52.06
-8,59.90
-12,61.06
-17,68.47
18,33.38
17,35.24
11,37.19
-8,56.91
12,51.16
-6,53.50
-3,48.74
-6,54.93
0,49.90
1,50.61
-3,55.99
17,32.10
10,37.42
9,38.77
15,36.57
6,42.77
2,49.36
15,34.78
-12,63.48
-6,55.40
-8,59.26
-8,58.74
6,47.86
1,49.47
-13,63.73
18,33.07
-6,57.54
9,40.96
6,44.89
9,41.51
15,36.15
11,39.85
-4,53.09
-15,65.36
-14,65.60
0,50.62
-3,52.40
11,41.06
9,41.41
10,40.55
10,39.17
1,50.06
-2,52.17
-4,57.33
-4,54.29
-8,60.87
1,48.59
18,31.78
5,45.24
17,32.29
-8,56.45
1,49.85
-8,59.39
8,43.43
15,35.61
14,37.45
6,46.48
11,37.65
-17,66.09
-3,54.11
-10,57.97
21,29.69
0,49.45
23,26.55
15,34.10
6,41.41
2,46.69
15,33.56
-12,58.47
-6,54.13
-8,56.40
-8,56.49
6,42.99
1,48.53
-13,60.59
18,30.38
-6,54.37
9,39.62
6,42.52
9,41.04
15,33.94
11,38.21
-4,52.40
-15,62.62
-14,61.22
0,48.31
-3,50.92
11,38.00
9,40.08
10,38.46
10,28.86
1,47.49
-2,50.65
-4,51.97
-4,51.85
-8,55.91
1,47.65
18,30.51
5,43.93
17,31.90
-8,55.27
1,48.66
-8,55.54
8,40.36
15,34.24
14,34.47
6,42.46
11,37.79
-17,63.83
-3,51.83
-10,57.23
21,28.10
0,48.74
23,25.84
