pvi,voter_share
6,53.05
1,48.60
1,46.27
6,57.68
6,55.57
1,48.82
0,50.41
0,48.48
11,61.56
8,62.88
5,50.09
2,47.65
1,46.22
15,61.80
-10,42.63
-12,41.13
1,48.04
9,55.57
1,50.50
2,46.51
5,53.03
0,48.30
14,63.80
6,56.01
-6,41.26
15,66.62
6,53.70
9,58.62
-3,45.44
11,62.81
-4,44.94
15,65.73
9,55.43
9,58.64
6,46.30
11,62.50
10,62.58
17,64.30
9,60.00
23,75.11
-4,43.94
-2,44.39
21,68.75
18,66.31
-8,42.54
-6,41.50
-12,38.94
-8,39.50
-10,40.64
-8,42.76
2,48.81
-6,44.18
-3,43.50
0,48.22
1,49.39
-3,43.91
-8,40.92
-8,39.85
-8,39.70
15,62.03
6,52.83
2,49.06
15,62.40
-12,34.32
-6,41.90
-8,39.19
-8,39.77
6,51.22
1,49.24
-13,34.27
18,63.84
-6,40.55
9,57.03
6,53.09
9,56.14
15,62.09
11,58.46
-4,44.02
-15,32.15
-14,32.14
0,47.84
-3,45.28
11,57.60
9,56.80
10,56.92
10,58.22
1,47.67
-2,45.36
-4,41.40
-4,43.50
-8,37.74
1,49.93
18,65.12
5,53.27
17,65.37
-8,40.37
1,48.69
-8,38.61
8,55.11
15,61.77
14,60.66
6,52.06
11,58.13
-17,30.67
-3,44.00
-10,38.77
21,68.62
0,48.82
23,69.94
15,64.57
6,54.54
2,52.22
15,64.20
-12,38.33
-6,43.14
-8,41.89
-8,41.79
6,56.09
1,50.72
-13,37.48
18,66.87
-6,43.47
9,58.58
6,55.73
9,57.16
15,64.47
11,60.22
-4,45.46
-15,34.08
-14,36.02
0,49.73
-3,46.68
11,60.89
9,58.49
10,58.39
10,59.32
1,50.59
-2,47.87
-4,46.06
-4,45.85
-8,43.31
1,50.86
18,66.96
5,55.14
17,66.16
-8,40.97
1,50.37
-8,41.76
8,58.23
15,63.43
14,64.19
6,56.14
11,59.38
-17,32.32
-3,46.05
-10,39.01
21,69.97
0,49.60
23,71.60
